position_id,company_name,location_state,location_city,role_title,skills_required,experience_required,salary_range,description
84,Zomato,West Bengal,Lucknow,Business Analyst,"DevOps, Machine Learning, HTML, Python",2 years,7 LPA,"Hiring for Business Analyst role with skills in Node.js, Cloud."
85,Axis Bank,Chhattisgarh,Bhopal,Business Analyst,"Django, CSS, SQL, DevOps",1 years,7 LPA,"Hiring for Business Analyst role with skills in Machine Learning, Django."
86,Flipkart,Uttar Pradesh,Ahmedabad,Software Engineer,"React, HTML, SQL",2 years,9 LPA,"Hiring for DevOps Engineer role with skills in HTML, JavaScript."
87,HCL Technologies,Uttar Pradesh,Pune,Backend Developer,"Flask, HTML, Machine Learning, Cloud, JavaScript",4 years,5 LPA,"Hiring for Data Scientist role with skills in Flask, JavaScript."
88,Flipkart,Haryana,Nagpur,Software Engineer,"Python, React, Cloud",0 years,3 LPA,"Hiring for Business Analyst role with skills in C++, Data Analysis."
89,Reliance Jio,Assam,Kochi,Data Scientist,"JavaScript, React, Java",1 years,3 LPA,"Hiring for Software Engineer role with skills in Data Analysis, C++."
90,Wipro,Kerala,Bengaluru,Backend Developer,"Node.js, Machine Learning, React",5 years,6 LPA,"Hiring for Data Scientist role with skills in Node.js, JavaScript."
91,Tech Mahindra,Assam,Ahmedabad,Business Analyst,"DevOps, Cloud, Node.js, Data Analysis, Java",3 years,6 LPA,"Hiring for DevOps Engineer role with skills in Cloud, DevOps."
92,ICICI Bank,Delhi,Ahmedabad,Frontend Developer,"Django, Node.js, JavaScript",2 years,6 LPA,"Hiring for Frontend Developer role with skills in CSS, Python."
93,L&T Infotech,Assam,Patna,Software Engineer,"DevOps, React, Machine Learning, CSS, Node.js",0 years,6 LPA,"Hiring for DevOps Engineer role with skills in Django, SQL."
94,Ola,Delhi,Mysuru,Backend Developer,"Data Analysis, Machine Learning, Django",1 years,12 LPA,"Hiring for Backend Developer role with skills in HTML, CSS."
95,Tech Mahindra,Uttar Pradesh,Mumbai,Business Analyst,"Python, Django, CSS, Cloud",1 years,12 LPA,"Hiring for Business Analyst role with skills in Java, Python."
96,Wipro,Rajasthan,Bengaluru,Software Engineer,"Cloud, Node.js, Python, Django",5 years,7 LPA,"Hiring for Frontend Developer role with skills in React, DevOps."
97,ICICI Bank,West Bengal,Nagpur,Frontend Developer,"CSS, Machine Learning, Python, Django",2 years,6 LPA,"Hiring for Business Analyst role with skills in Python, Java."
98,Zomato,Jharkhand,Hyderabad,DevOps Engineer,"Python, Flask, SQL, DevOps, Data Analysis",0 years,6 LPA,"Hiring for Frontend Developer role with skills in React, Django."
99,Tech Mahindra,Bihar,Hyderabad,Data Scientist,"Node.js, CSS, React, JavaScript, Python",1 years,12 LPA,"Hiring for Frontend Developer role with skills in Flask, Cloud."
100,Flipkart,Punjab,Nagpur,DevOps Engineer,"Flask, SQL, DevOps, JavaScript, Cloud",0 years,10 LPA,"Hiring for Frontend Developer role with skills in HTML, Machine Learning."
